,State,TotalCases,NewCases,TotalDeaths,NewDeaths
0,New York,"25,665","+4,790",210,+53
1,New Jersey,"3,675",+831,44,+17
2,California,"2,266",+133,43,+3
3,Washington,"2,221",,110,
4,Michigan,"1,791",+463,24,+9
5,Illinois,"1,535",+250,16,+4
6,Florida,"1,412",+185,18,
7,Louisiana,"1,388",+216,46,+11
8,Massachusetts,"1,159",+382,11,+2
9,Georgia,"1,026",+223,32,+6
10,Pennsylvania,851,+207,7,+1
11,Texas,826,+20,9,
12,Colorado,720,,7,
13,Tennessee,667,+52,2,
14,Ohio,564,+122,8,+2
15,North Carolina,459,+49,,
16,Wisconsin,457,+41,5,
17,Connecticut,415,,10,
18,Indiana,365,+106,12,+5
19,Maryland,349,+61,4,+1
20,Arizona,326,+92,5,+3
21,Mississippi,320,+71,1,
22,South Carolina,299,,5,
23,Utah,298,+41,1,
24,Virginia,290,+36,7,
25,Nevada,278,+33,4,
26,Minnesota,262,+27,1,
27,Missouri,227,+31,5,
28,Arkansas,218,+21,,
29,Alabama,215,+19,,
30,Oregon,209,+18,5,
31,District of Columbia,137,,2,
32,Kentucky,124,,4,
33,Iowa,124,+19,,
34,Rhode Island,124,+18,,
35,Maine,118,+11,,
36,Oklahoma,106,+25,3,+1
37,New Hampshire,101,,1,
38,Kansas,98,+16,2,
39,Vermont,95,+20,7,+2
40,Delaware,91,+23,,
41,New Mexico,83,,,
42,Idaho,81,+34,,
43,Hawaii,77,,1,+1
44,Nebraska,61,+11,,
45,Montana,46,+1,,
46,Alaska,36,+4,,
47,North Dakota,34,+2,,
48,South Dakota,30,+2,1,
49,Wyoming,29,+3,,
50,West Virginia,20,+4,,
51,Diamond Princess Cruise,49,,,
52,Grand Princess Cruise,30,,1,
53,<strong>Total:</strong>,"52,447","8,713",674,121
54,New York,"20,875","+5,085",157,+43
55,New Jersey,"2,844",+930,27,+7
56,Washington,"2,221",+225,110,+15
57,California,"2,133",+378,40,+6
58,Michigan,"1,328",+293,15,+6
59,Illinois,"1,285",+236,12,+3
60,Florida,"1,227",+220,18,+5
61,Louisiana,"1,172",+335,35,+15
62,Texas,806,+208,9,+3
63,Georgia,803,+203,26,+3
64,Massachusetts,777,+131,9,+4
65,Colorado,720,+129,7,+1
66,Pennsylvania,644,+165,6,+3
67,Tennessee,615,+110,2,
68,Ohio,442,+91,6,+3
69,Wisconsin,416,+35,5,+1
70,Connecticut,415,+192,10,+5
71,North Carolina,410,+139,,
72,South Carolina,299,+104,5,+2
73,Maryland,288,+44,3,
74,Indiana,259,+58,7,+1
75,Utah,257,+76,1,
76,Virginia,254,+35,7,+4
77,Mississippi,249,+42,1,
78,Nevada,245,+55,4,+2
79,Minnesota,235,+66,1,
80,Arizona,234,+82,2,
81,Arkansas,197,+32,,
82,Missouri,196,+106,5,+2
83,Alabama,196,+39,,
84,Oregon,191,+30,5,+1
85,District of Columbia,137,+39,2,
86,Kentucky,124,+21,4,+1
87,Maine,107,+18,,
88,Rhode Island,106,+23,,
89,Iowa,105,+15,,
90,New Hampshire,101,+23,1,+1
91,New Mexico,83,+18,,
92,Kansas,82,+18,2,
93,Oklahoma,81,+14,2,
94,Hawaii,77,+21,,
95,Vermont,75,+23,5,+3
96,Delaware,68,+12,,
97,Nebraska,50,+8,,
98,Idaho,47,+5,,
99,Montana,45,+11,,
100,Alaska,32,+10,,
101,North Dakota,32,+2,,
102,South Dakota,28,+7,1,
103,Wyoming,26,+2,,
104,West Virginia,16,+4,,
105,Diamond Princess Cruise,49,,,
106,Grand Princess Cruise,30,,1,
107,<strong>Total:</strong>,"52,447","10,168",674,140
